z,VER_127,VER_428,rho,c,T
110.1,68500000000.00009,1.9810672270895453e-08,3.9832931059112985e-06,191.1207905618599,158.16436791730868
110.2,66999999999.999954,2.0282691511068027e-08,3.861779252680261e-06,191.09368941511687,158.11959051051522
110.3,65500000000.000046,2.0761076634849428e-08,3.7445710411593273e-06,191.06238173700885,158.06782715380913
110.4,63999999999.99991,2.1245655622274465e-08,3.631451072200922e-06,191.02755270477337,158.01021819756443
110.5,62500000000.0,2.1736251060005856e-08,3.5222019466574864e-06,190.98988749564828,157.9479039921553
110.6,61000000000.00009,2.223268019846195e-08,3.4166062653814496e-06,190.9500712868714,157.88202488795594
110.7,59499999999.999954,2.2734755011402128e-08,3.314446629225247e-06,190.90878925568035,157.8137212353404
110.8,58000000000.000046,2.3242282257947216e-08,3.215505639041318e-06,190.86672657931294,157.74413338468293
110.9,56499999999.99991,2.3755063547010377e-08,3.119565895682089e-06,190.82456843500694,157.6744016863576
111.0,55000000000.0,2.4272895404113935e-08,3.0264100000000006e-06,190.78300000000007,157.60566649073854
111.1,53500000000.00009,2.4795580249149395e-08,2.935849377994524e-06,190.7425819628764,157.53886053252052
111.2,51999999999.999954,2.5322959648749024e-08,2.8478107562533096e-06,190.70337705760514,157.4740860836802
111.3,50500000000.000046,2.585488244841571e-08,2.7622496865110527e-06,190.66532352950213,157.4112378005151
111.4,48999999999.999916,2.6391194027263565e-08,2.6791217205024374e-06,190.62835962388277,157.35021033932244
111.5,47500000000.0,2.6931736347722177e-08,2.5983824099621612e-06,190.59242358606278,157.29089835639957
111.6,46000000000.000084,2.7476348006733686e-08,2.519987306624909e-06,190.5574536613578,157.23319650804393
111.7,44499999999.999954,2.8024864288424437e-08,2.4438919622253754e-06,190.52338809508342,157.1769994505528
111.8,43000000000.000046,2.857711721823268e-08,2.370051928498254e-06,190.49016513255523,157.12220184022357
111.9,41499999999.999916,2.9132935618472948e-08,2.29842275717823e-06,190.45772301908892,157.06869833335355
112.0,40000000000.0,2.9692145165317626e-08,2.22896e-06,190.42600000000004,157.0163835862401
112.1,39000000000.00005,3.0254565449654685e-08,2.1616172021106023e-06,190.394874586635,156.96505489354053
112.2,37999999999.99997,3.0820000935377306e-08,2.096339882306488e-06,190.3639863544627,156.914120103352
112.3,37000000000.00003,3.138824982614495e-08,2.0330715527964627e-06,190.33291514498316,156.86288970213175
112.4,35999999999.99995,3.1959107105958316e-08,1.9717557257893213e-06,190.30124079969593,156.81067417633685
112.5,35000000000.0,3.253236461133002e-08,1.9123359134938715e-06,190.26854316010085,156.75678401242445
112.6,34000000000.000057,3.310781110492042e-08,1.8547556281189097e-06,190.23440206769777,156.70052969685185
112.7,32999999999.999973,3.368523235061256e-08,1.7989583818732395e-06,190.19839736398632,156.64122171607602
112.8,32000000000.000027,3.426441119000076e-08,1.7448876869656652e-06,190.1601088904664,156.57817055655423
112.9,30999999999.999943,3.484512762026604e-08,1.6924870556049838e-06,190.11911648863773,156.5106867047436
113.0,30000000000.0,3.542715887341162e-08,1.6417000000000003e-06,190.07500000000002,156.43808064710126
113.1,29000000000.000057,3.601027547199828e-08,1.5924690935630637e-06,190.02770069058406,156.36025661035626
113.2,27999999999.999973,3.659422911100965e-08,1.5447331545207273e-06,189.9786055245441,156.27949378232483
113.3,27000000000.000027,3.71787646010726e-08,1.4984300623030969e-06,189.92946289056562,156.1986650910952
113.4,25999999999.999943,3.7763623957420255e-08,1.4534976963402705e-06,189.88202117733377,156.12064346475535
113.5,25000000000.0,3.83485464973934e-08,1.4098739360623545e-06,189.83802877353392,156.04830183139347
113.6,24000000000.000057,3.893326893933113e-08,1.3674966608994492e-06,189.79923406785136,155.98451311909776
113.7,22999999999.999973,3.9517525502815944e-08,1.3263037502816577e-06,189.76738544897137,155.93215025595623
113.8,22000000000.000027,4.010104801023952e-08,1.2862330836390852e-06,189.74423130557935,155.89408617005708
113.9,20999999999.999943,4.06835659896535e-08,1.2472225404018309e-06,189.73152002636044,155.87319378948837
114.0,20000000000.0,4.1264806778870363e-08,1.20921e-06,189.73100000000005,155.87234604233828
114.1,19750000000.000015,4.1844450973491563e-08,1.1721439076371413e-06,189.74383565102914,155.89345645436097
114.2,19499999999.999996,4.242199738991535e-08,1.1360149716105947e-06,189.76885554736091,155.93460094197457
114.3,19250000000.000004,4.2996895154899186e-08,1.1008244659911501e-06,189.8043042927547,155.9928960192635
114.4,18999999999.999985,4.35685883072283e-08,1.0665736648495923e-06,189.84842649096925,156.06545820031187
114.5,18750000000.0,4.413651604459843e-08,1.0332638422567107e-06,189.89946674576365,156.14940399920397
114.6,18500000000.000015,4.4700112973356773e-08,1.000896272283292e-06,189.95566966089703,156.24184993002413
114.7,18249999999.999996,4.525880936100951e-08,9.694722290001232e-07,190.0152798401283,156.33991250685654
114.8,18000000000.000004,4.5812031391404806e-08,9.389929864779943e-07,190.0765418872166,156.44070824378545
114.9,17749999999.999985,4.635920142249771e-08,9.0945981878769e-07,190.1377004059208,156.54135365489518
115.0,17500000000.0,4.68997382466035e-08,8.80874e-07,190.19700000000003,156.63896525426992
115.1,17250000000.000015,4.7433113411072936e-08,8.532311058883703e-07,190.25305470529986,156.73126637589905
115.2,16999999999.999994,4.795902085980483e-08,8.265039190368883e-07,190.3059562860123,156.81840763339213
115.3,16750000000.000006,4.847721105221329e-08,8.006595237323024e-07,190.35616593841607,156.901146460264
115.4,16499999999.999987,4.898743530842378e-08,7.756650042613574e-07,190.40414485878964,156.98024029002923
115.5,16250000000.0,4.948944590332051e-08,7.51487444910802e-07,190.45035424341162,157.0564465562026
115.6,16000000000.000013,4.998299616065852e-08,7.28093929967382e-07,190.49525528856077,157.13052269229885
115.7,15749999999.999994,5.046784054721034e-08,7.054515437178444e-07,190.53930919051552,157.20322613183262
115.8,15500000000.000006,5.094373476691734e-08,6.835273704489375e-07,190.58297714555462,157.2753143083187
115.9,15249999999.999987,5.141043585501491e-08,6.622884944474067e-07,190.6267203499566,157.34754465527175
116.0,15000000000.0,5.186770227210199e-08,6.417020000000001e-07,190.67100000000005,157.42067460620643
116.1,14500000000.000029,5.231531769314845e-08,6.217379718093765e-07,190.7161875277717,157.49531439036738
116.2,13999999999.999987,5.275316258438803e-08,6.02378496241848e-07,190.76229530858987,157.5714854199181
116.3,13500000000.000013,5.318114387436613e-08,5.836086600796402e-07,190.80924595358135,157.64906190275224
116.4,12999999999.999971,5.3599171379789987e-08,5.654135501049759e-07,190.85696207387252,157.7279180467631
116.5,12500000000.0,5.4007157822323754e-08,5.477782531000812e-07,190.90536628058993,157.80792805984424
116.6,12000000000.000029,5.44050188445492e-08,5.306878558471795e-07,190.9543811848602,157.88896614988911
116.7,11499999999.999987,5.4792673025090444e-08,5.141274451284959e-07,191.00392939780977,157.9709065247912
116.8,11000000000.000013,5.5170041892902945e-08,4.980821077262554e-07,191.0539335305653,158.05362339244388
116.9,10499999999.999971,5.553704994072556e-08,4.825369304226816e-07,191.1043161942532,158.13699096074077
117.0,10000000000.0,5.589362463769572e-08,4.674770000000001e-07,191.15500000000003,158.22088343757514
117.1,9500000000.000029,5.623969095861675e-08,4.528876778741228e-07,191.20589618361385,158.3051554041237
117.2,8999999999.999987,5.657515488027014e-08,4.387554239957165e-07,191.25687047962833,158.38958293469497
117.3,8500000000.000014,5.6899919729650086e-08,4.2506697294913685e-07,191.30777724725888,158.4739224768808
117.4,7999999999.999971,5.7213891675949134e-08,4.1180905931873713e-07,191.3584708457206,158.5579304782728
117.5,7500000000.0,5.751697975696137e-08,3.989684176888732e-07,191.40880563422877,158.64136338646279
117.6,7000000000.000029,5.780909590474687e-08,3.865317826438992e-07,191.4586359719987,158.7239776490425
117.7,6499999999.999986,5.8090154970551754e-08,3.744858887681699e-07,191.5078162182455,158.80552971360356
117.8,6000000000.000014,5.836007474897748e-08,3.628174706460408e-07,191.55620073218452,158.8857760277378
